title,description,category
VPN access denied for off-campus research access,Remote research lab VPN gateway gives invalid certificate or handshake failure.,IT and Wi-Fi
Urgent: VPN access denied for off-campus research access,Reporting issue: Remote research lab VPN gateway gives invalid certificate or handshake failure. Please send someone to inspect.,IT and Wi-Fi
Issue with vpn access denied for off-campus research access,Attention maintenance team: Remote research lab VPN gateway gives invalid certificate or handshake failure.,IT and Wi-Fi
Hostel 5 Wi-Fi signal extremely weak inside rooms,"Signal is only available in the open balcony, zero reception inside dormitory rooms.",IT and Wi-Fi
Urgent: Hostel 5 Wi-Fi signal extremely weak inside rooms,"Reporting issue: Signal is only available in the open balcony, zero reception inside dormitory rooms. Please send someone to inspect.",IT and Wi-Fi
Issue with hostel 5 wi-fi signal extremely weak inside rooms,"Attention maintenance team: Signal is only available in the open balcony, zero reception inside dormitory rooms.",IT and Wi-Fi
Firewall blocking academic Git repositories,Git clone from github and gitlab is hanging with connection refused on campus proxy.,IT and Wi-Fi
Urgent: Firewall blocking academic Git repositories,Reporting issue: Git clone from github and gitlab is hanging with connection refused on campus proxy. Please send someone to inspect.,IT and Wi-Fi
Issue with firewall blocking academic git repositories,Attention maintenance team: Git clone from github and gitlab is hanging with connection refused on campus proxy.,IT and Wi-Fi
Computer lab 1 desktop PCs cannot obtain DHCP IP,All 30 machines in Lab 1 show unidentified network and self-assigned IP.,IT and Wi-Fi
Urgent: Computer lab 1 desktop PCs cannot obtain DHCP IP,Reporting issue: All 30 machines in Lab 1 show unidentified network and self-assigned IP. Please send someone to inspect.,IT and Wi-Fi
Issue with computer lab 1 desktop pcs cannot obtain dhcp ip,Attention maintenance team: All 30 machines in Lab 1 show unidentified network and self-assigned IP.,IT and Wi-Fi
Campus webmail service not receiving incoming verification emails,Students are not receiving external emails from conference and submission portals.,IT and Wi-Fi
Urgent: Campus webmail service not receiving incoming verification emails,Reporting issue: Students are not receiving external emails from conference and submission portals. Please send someone to inspect.,IT and Wi-Fi
Issue with campus webmail service not receiving incoming verification emails,Attention maintenance team: Students are not receiving external emails from conference and submission portals.,IT and Wi-Fi
Sparking observed in main distribution board in Block A,Heard crackling sound and noticed burning smell near electrical switchboard on floor 2.,Electrical
Urgent: Sparking observed in main distribution board in Block A,Reporting issue: Heard crackling sound and noticed burning smell near electrical switchboard on floor 2. Please send someone to inspect.,Electrical
Issue with sparking observed in main distribution board in block a,Attention maintenance team: Heard crackling sound and noticed burning smell near electrical switchboard on floor 2.,Electrical
Tube lights flickering in Lecture Hall 203,Two tube lights near the front podium are flickering continuously causing eye strain.,Electrical
Urgent: Tube lights flickering in Lecture Hall 203,Reporting issue: Two tube lights near the front podium are flickering continuously causing eye strain. Please send someone to inspect.,Electrical
Issue with tube lights flickering in lecture hall 203,Attention maintenance team: Two tube lights near the front podium are flickering continuously causing eye strain.,Electrical
Ceiling fan regulator broken in Room 108,The fan knob has popped out and the fan is stuck at maximum speed.,Electrical
Urgent: Ceiling fan regulator broken in Room 108,Reporting issue: The fan knob has popped out and the fan is stuck at maximum speed. Please send someone to inspect.,Electrical
Issue with ceiling fan regulator broken in room 108,Attention maintenance team: The fan knob has popped out and the fan is stuck at maximum speed.,Electrical
Power outage in Mechanical workshop section B,All 3-phase power sockets for lathe machines are completely dead since morning.,Electrical
Urgent: Power outage in Mechanical workshop section B,Reporting issue: All 3-phase power sockets for lathe machines are completely dead since morning. Please send someone to inspect.,Electrical
Issue with power outage in mechanical workshop section b,Attention maintenance team: All 3-phase power sockets for lathe machines are completely dead since morning.,Electrical
Exposed wires hanging from false ceiling in corridor,Open electrical wires with stripped insulation near elevator on 4th floor.,Electrical
Urgent: Exposed wires hanging from false ceiling in corridor,Reporting issue: Open electrical wires with stripped insulation near elevator on 4th floor. Please send someone to inspect.,Electrical
Issue with exposed wires hanging from false ceiling in corridor,Attention maintenance team: Open electrical wires with stripped insulation near elevator on 4th floor.,Electrical
Streetlight not working near hostel walkway,The path between Girls Hostel and Cafeteria is pitch dark at night due to broken light pole.,Electrical
Urgent: Streetlight not working near hostel walkway,Reporting issue: The path between Girls Hostel and Cafeteria is pitch dark at night due to broken light pole. Please send someone to inspect.,Electrical
Issue with streetlight not working near hostel walkway,Attention maintenance team: The path between Girls Hostel and Cafeteria is pitch dark at night due to broken light pole.,Electrical
Air conditioner tripping circuit breaker in Seminar Hall,"As soon as AC unit 2 is turned on, the MCB trips for the entire hall.",Electrical
Urgent: Air conditioner tripping circuit breaker in Seminar Hall,"Reporting issue: As soon as AC unit 2 is turned on, the MCB trips for the entire hall. Please send someone to inspect.",Electrical
Issue with air conditioner tripping circuit breaker in seminar hall,"Attention maintenance team: As soon as AC unit 2 is turned on, the MCB trips for the entire hall.",Electrical
Socket burnt in Chemistry research lab,Three-pin 16A socket showed smoke when heating mantle was plugged in.,Electrical
Urgent: Socket burnt in Chemistry research lab,Reporting issue: Three-pin 16A socket showed smoke when heating mantle was plugged in. Please send someone to inspect.,Electrical
Issue with socket burnt in chemistry research lab,Attention maintenance team: Three-pin 16A socket showed smoke when heating mantle was plugged in.,Electrical
Emergency backup generator not kicking in during outage,Main computer centre had sudden shutdown when grid power failed; UPS alarm beeping.,Electrical
Urgent: Emergency backup generator not kicking in during outage,Reporting issue: Main computer centre had sudden shutdown when grid power failed; UPS alarm beeping. Please send someone to inspect.,Electrical
Issue with emergency backup generator not kicking in during outage,Attention maintenance team: Main computer centre had sudden shutdown when grid power failed; UPS alarm beeping.,Electrical
Exhaust fan stopped working in chemistry laboratory,"Fume exhaust motor is not turning on, making the chemical storage room hazardous.",Electrical
Urgent: Exhaust fan stopped working in chemistry laboratory,"Reporting issue: Fume exhaust motor is not turning on, making the chemical storage room hazardous. Please send someone to inspect.",Electrical
Issue with exhaust fan stopped working in chemistry laboratory,"Attention maintenance team: Fume exhaust motor is not turning on, making the chemical storage room hazardous.",Electrical
Switch plate loose and wobbling in Room 405,Plastic cover came off exposing live terminals behind the light switches.,Electrical
Urgent: Switch plate loose and wobbling in Room 405,Reporting issue: Plastic cover came off exposing live terminals behind the light switches. Please send someone to inspect.,Electrical
Issue with switch plate loose and wobbling in room 405,Attention maintenance team: Plastic cover came off exposing live terminals behind the light switches.,Electrical
High voltage fluctuation noticed in Physics lab,Voltage meters showing fluctuations between 180V and 260V damaging sensitive sensors.,Electrical
Urgent: High voltage fluctuation noticed in Physics lab,Reporting issue: Voltage meters showing fluctuations between 180V and 260V damaging sensitive sensors. Please send someone to inspect.,Electrical
Issue with high voltage fluctuation noticed in physics lab,Attention maintenance team: Voltage meters showing fluctuations between 180V and 260V damaging sensitive sensors.,Electrical
Corridor lights not turning on in Academic Complex,Switches on the panel do not operate the overhead lights on the west wing.,Electrical
Urgent: Corridor lights not turning on in Academic Complex,Reporting issue: Switches on the panel do not operate the overhead lights on the west wing. Please send someone to inspect.,Electrical
Issue with corridor lights not turning on in academic complex,Attention maintenance team: Switches on the panel do not operate the overhead lights on the west wing.,Electrical
Main transformer buzzing loudly with heat,Transformer unit behind sports complex is humming excessively loud with ozone odor.,Electrical
Urgent: Main transformer buzzing loudly with heat,Reporting issue: Transformer unit behind sports complex is humming excessively loud with ozone odor. Please send someone to inspect.,Electrical
Issue with main transformer buzzing loudly with heat,Attention maintenance team: Transformer unit behind sports complex is humming excessively loud with ozone odor.,Electrical
Severe water leakage in 2nd floor washroom,Pipes beneath the central washbasin burst and water is flooding into the corridor.,Plumbing
Urgent: Severe water leakage in 2nd floor washroom,Reporting issue: Pipes beneath the central washbasin burst and water is flooding into the corridor. Please send someone to inspect.,Plumbing
Issue with severe water leakage in 2nd floor washroom,Attention maintenance team: Pipes beneath the central washbasin burst and water is flooding into the corridor.,Plumbing
Tap broken and continuously running in Hostel 3 mess,Handwash tap valve is sheared off and water is being wasted continuously.,Plumbing
Urgent: Tap broken and continuously running in Hostel 3 mess,Reporting issue: Handwash tap valve is sheared off and water is being wasted continuously. Please send someone to inspect.,Plumbing
Issue with tap broken and continuously running in hostel 3 mess,Attention maintenance team: Handwash tap valve is sheared off and water is being wasted continuously.,Plumbing
Low water pressure in 4th floor hostel showers,Water barely trickles out of shower heads in Hostel Block D top floor bathrooms.,Plumbing
Urgent: Low water pressure in 4th floor hostel showers,Reporting issue: Water barely trickles out of shower heads in Hostel Block D top floor bathrooms. Please send someone to inspect.,Plumbing
Issue with low water pressure in 4th floor hostel showers,Attention maintenance team: Water barely trickles out of shower heads in Hostel Block D top floor bathrooms.,Plumbing
Drain clogged and dirty water backing up in canteen,Kitchen sink drain is jammed with grease and water is stagnating on the floor.,Plumbing
Urgent: Drain clogged and dirty water backing up in canteen,Reporting issue: Kitchen sink drain is jammed with grease and water is stagnating on the floor. Please send someone to inspect.,Plumbing
Issue with drain clogged and dirty water backing up in canteen,Attention maintenance team: Kitchen sink drain is jammed with grease and water is stagnating on the floor.,Plumbing
Flush tank not refilling in Ground Floor Restroom,Cistern valve is stuck and will not draw water in the admin block restroom.,Plumbing
Urgent: Flush tank not refilling in Ground Floor Restroom,Reporting issue: Cistern valve is stuck and will not draw water in the admin block restroom. Please send someone to inspect.,Plumbing
Issue with flush tank not refilling in ground floor restroom,Attention maintenance team: Cistern valve is stuck and will not draw water in the admin block restroom.,Plumbing
Drinking water cooler leaking onto hallway floor,Water purifier outlet pipe is cracked near Library 1st floor water dispenser.,Plumbing
Urgent: Drinking water cooler leaking onto hallway floor,Reporting issue: Water purifier outlet pipe is cracked near Library 1st floor water dispenser. Please send someone to inspect.,Plumbing
Issue with drinking water cooler leaking onto hallway floor,Attention maintenance team: Water purifier outlet pipe is cracked near Library 1st floor water dispenser.,Plumbing
Sewage odor emerging from bathroom floor drain,Trap water has dried out or sewer line is blocked behind Girls Hostel 2.,Plumbing
Urgent: Sewage odor emerging from bathroom floor drain,Reporting issue: Trap water has dried out or sewer line is blocked behind Girls Hostel 2. Please send someone to inspect.,Plumbing
Issue with sewage odor emerging from bathroom floor drain,Attention maintenance team: Trap water has dried out or sewer line is blocked behind Girls Hostel 2.,Plumbing
Overhead water tank overflowing onto roof,Float sensor failure has caused continuous overflow from main storage tank on Tower B.,Plumbing
Urgent: Overhead water tank overflowing onto roof,Reporting issue: Float sensor failure has caused continuous overflow from main storage tank on Tower B. Please send someone to inspect.,Plumbing
Issue with overhead water tank overflowing onto roof,Attention maintenance team: Float sensor failure has caused continuous overflow from main storage tank on Tower B.,Plumbing
No water supply in Chemical Engineering department,All taps and eyewash safety stations have zero water supply since 8 AM.,Plumbing
Urgent: No water supply in Chemical Engineering department,Reporting issue: All taps and eyewash safety stations have zero water supply since 8 AM. Please send someone to inspect.,Plumbing
Issue with no water supply in chemical engineering department,Attention maintenance team: All taps and eyewash safety stations have zero water supply since 8 AM.,Plumbing
Rust colored water coming out of hostel taps,Water has reddish brown sediment and metallic smell in Hostel 1 Wing A.,Plumbing
Urgent: Rust colored water coming out of hostel taps,Reporting issue: Water has reddish brown sediment and metallic smell in Hostel 1 Wing A. Please send someone to inspect.,Plumbing
Issue with rust colored water coming out of hostel taps,Attention maintenance team: Water has reddish brown sediment and metallic smell in Hostel 1 Wing A.,Plumbing
Urinal auto-flush sensor leaking continuously,Sensor actuated valve is stuck open wasting constant streams of water.,Plumbing
Urgent: Urinal auto-flush sensor leaking continuously,Reporting issue: Sensor actuated valve is stuck open wasting constant streams of water. Please send someone to inspect.,Plumbing
Issue with urinal auto-flush sensor leaking continuously,Attention maintenance team: Sensor actuated valve is stuck open wasting constant streams of water.,Plumbing
Underground supply line seepage near basketball court,Water pooling on the pavement indicates broken main distribution line.,Plumbing
Urgent: Underground supply line seepage near basketball court,Reporting issue: Water pooling on the pavement indicates broken main distribution line. Please send someone to inspect.,Plumbing
Issue with underground supply line seepage near basketball court,Attention maintenance team: Water pooling on the pavement indicates broken main distribution line.,Plumbing
Lab sink trap cracked and dripping under cabinet,Acidic waste drip has corroded the drain trap under bench 4 in Bio lab.,Plumbing
Urgent: Lab sink trap cracked and dripping under cabinet,Reporting issue: Acidic waste drip has corroded the drain trap under bench 4 in Bio lab. Please send someone to inspect.,Plumbing
Issue with lab sink trap cracked and dripping under cabinet,Attention maintenance team: Acidic waste drip has corroded the drain trap under bench 4 in Bio lab.,Plumbing
Window glass shattered in Room 304 due to storm,Outer window pane cracked and loose shards may fall into courtyard below.,Hostel maintenance
Urgent: Window glass shattered in Room 304 due to storm,Reporting issue: Outer window pane cracked and loose shards may fall into courtyard below. Please send someone to inspect.,Hostel maintenance
Issue with window glass shattered in room 304 due to storm,Attention maintenance team: Outer window pane cracked and loose shards may fall into courtyard below.,Hostel maintenance
Room door lock cylinder jammed in Hostel 6,Key cannot be turned in lock; student currently unable to secure room when leaving.,Hostel maintenance
Urgent: Room door lock cylinder jammed in Hostel 6,Reporting issue: Key cannot be turned in lock; student currently unable to secure room when leaving. Please send someone to inspect.,Hostel maintenance
Issue with room door lock cylinder jammed in hostel 6,Attention maintenance team: Key cannot be turned in lock; student currently unable to secure room when leaving.,Hostel maintenance
Wooden wardrobe door hinge detached,Almirah door is hanging by one hinge and might fall off if opened.,Hostel maintenance
Urgent: Wooden wardrobe door hinge detached,Reporting issue: Almirah door is hanging by one hinge and might fall off if opened. Please send someone to inspect.,Hostel maintenance
Issue with wooden wardrobe door hinge detached,Attention maintenance team: Almirah door is hanging by one hinge and might fall off if opened.,Hostel maintenance
Study table drawer broken and falling out,Runner track is bent and drawer cannot be slid in or out in Room 118.,Hostel maintenance
Urgent: Study table drawer broken and falling out,Reporting issue: Runner track is bent and drawer cannot be slid in or out in Room 118. Please send someone to inspect.,Hostel maintenance
Issue with study table drawer broken and falling out,Attention maintenance team: Runner track is bent and drawer cannot be slid in or out in Room 118.,Hostel maintenance
Mosquito net mesh torn on balcony door,Large hole in protective netting allowing mosquitoes and insects inside room.,Hostel maintenance
Urgent: Mosquito net mesh torn on balcony door,Reporting issue: Large hole in protective netting allowing mosquitoes and insects inside room. Please send someone to inspect.,Hostel maintenance
Issue with mosquito net mesh torn on balcony door,Attention maintenance team: Large hole in protective netting allowing mosquitoes and insects inside room.,Hostel maintenance
Curtain rod fell off wall bracket in Room 215,"Drywall screws pulled out when closing curtains, bracket hanging loose.",Hostel maintenance
Urgent: Curtain rod fell off wall bracket in Room 215,"Reporting issue: Drywall screws pulled out when closing curtains, bracket hanging loose. Please send someone to inspect.",Hostel maintenance
Issue with curtain rod fell off wall bracket in room 215,"Attention maintenance team: Drywall screws pulled out when closing curtains, bracket hanging loose.",Hostel maintenance
Mattress provided is severely damaged and sagging,Springs are protruding through fabric posing a safety issue for occupant.,Hostel maintenance
Urgent: Mattress provided is severely damaged and sagging,Reporting issue: Springs are protruding through fabric posing a safety issue for occupant. Please send someone to inspect.,Hostel maintenance
Issue with mattress provided is severely damaged and sagging,Attention maintenance team: Springs are protruding through fabric posing a safety issue for occupant.,Hostel maintenance
Dampness and paint peeling off ceiling in Room 410,Water seepage from upper terrace has caused plaster to fall on study desk.,Hostel maintenance
Urgent: Dampness and paint peeling off ceiling in Room 410,Reporting issue: Water seepage from upper terrace has caused plaster to fall on study desk. Please send someone to inspect.,Hostel maintenance
Issue with dampness and paint peeling off ceiling in room 410,Attention maintenance team: Water seepage from upper terrace has caused plaster to fall on study desk.,Hostel maintenance
Balcony railing loose and shaking in Block C,"Metal weld on 3rd floor balcony railing has snapped, causing fall hazard.",Hostel maintenance
Urgent: Balcony railing loose and shaking in Block C,"Reporting issue: Metal weld on 3rd floor balcony railing has snapped, causing fall hazard. Please send someone to inspect.",Hostel maintenance
Issue with balcony railing loose and shaking in block c,"Attention maintenance team: Metal weld on 3rd floor balcony railing has snapped, causing fall hazard.",Hostel maintenance
Geyser water heater in bathroom not heating,Water remains ice cold even after 30 minutes of geyser being powered on.,Hostel maintenance
Urgent: Geyser water heater in bathroom not heating,Reporting issue: Water remains ice cold even after 30 minutes of geyser being powered on. Please send someone to inspect.,Hostel maintenance
Issue with geyser water heater in bathroom not heating,Attention maintenance team: Water remains ice cold even after 30 minutes of geyser being powered on.,Hostel maintenance
Room door latch misaligned will not latch shut,Wood has expanded with humidity and door bolt does not enter strike plate.,Hostel maintenance
Urgent: Room door latch misaligned will not latch shut,Reporting issue: Wood has expanded with humidity and door bolt does not enter strike plate. Please send someone to inspect.,Hostel maintenance
Issue with room door latch misaligned will not latch shut,Attention maintenance team: Wood has expanded with humidity and door bolt does not enter strike plate.,Hostel maintenance
Bed frame wooden plank cracked in Room 502,Support slat under cot has split down the center.,Hostel maintenance
Urgent: Bed frame wooden plank cracked in Room 502,Reporting issue: Support slat under cot has split down the center. Please send someone to inspect.,Hostel maintenance
Issue with bed frame wooden plank cracked in room 502,Attention maintenance team: Support slat under cot has split down the center.,Hostel maintenance
Projector HDMI display flickering in Audi 1,Projector drops image every minute and displays no signal detected intermittently.,Classroom and laboratory equipment
Urgent: Projector HDMI display flickering in Audi 1,Reporting issue: Projector drops image every minute and displays no signal detected intermittently. Please send someone to inspect.,Classroom and laboratory equipment
Issue with projector hdmi display flickering in audi 1,Attention maintenance team: Projector drops image every minute and displays no signal detected intermittently.,Classroom and laboratory equipment
Digital podium microphone dead in Lecture Hall 101,Gooseneck podium microphone has no audio output through hall speakers.,Classroom and laboratory equipment
Urgent: Digital podium microphone dead in Lecture Hall 101,Reporting issue: Gooseneck podium microphone has no audio output through hall speakers. Please send someone to inspect.,Classroom and laboratory equipment
Issue with digital podium microphone dead in lecture hall 101,Attention maintenance team: Gooseneck podium microphone has no audio output through hall speakers.,Classroom and laboratory equipment
Oscilloscope channel 2 faulty in Electronics lab,Tektronix DSO channel 2 produces distorted waveform with high offset error.,Classroom and laboratory equipment
Urgent: Oscilloscope channel 2 faulty in Electronics lab,Reporting issue: Tektronix DSO channel 2 produces distorted waveform with high offset error. Please send someone to inspect.,Classroom and laboratory equipment
Issue with oscilloscope channel 2 faulty in electronics lab,Attention maintenance team: Tektronix DSO channel 2 produces distorted waveform with high offset error.,Classroom and laboratory equipment
Chemical fume hood airflow velocity too low,Safety monitor indicates face velocity below 0.3 m/s in organic synthesis lab.,Classroom and laboratory equipment
Urgent: Chemical fume hood airflow velocity too low,Reporting issue: Safety monitor indicates face velocity below 0.3 m/s in organic synthesis lab. Please send someone to inspect.,Classroom and laboratory equipment
Issue with chemical fume hood airflow velocity too low,Attention maintenance team: Safety monitor indicates face velocity below 0.3 m/s in organic synthesis lab.,Classroom and laboratory equipment
Centrifuge vibrating violently in Biotechnology lab,"Benchtop centrifuge makes loud rattling noise above 2000 RPM, rotor unaligned.",Classroom and laboratory equipment
Urgent: Centrifuge vibrating violently in Biotechnology lab,"Reporting issue: Benchtop centrifuge makes loud rattling noise above 2000 RPM, rotor unaligned. Please send someone to inspect.",Classroom and laboratory equipment
Issue with centrifuge vibrating violently in biotechnology lab,"Attention maintenance team: Benchtop centrifuge makes loud rattling noise above 2000 RPM, rotor unaligned.",Classroom and laboratory equipment
Smart interactive whiteboard touch calibration lost,Stylus inputs register 5 inches away from contact point on smartboard in LH 302.,Classroom and laboratory equipment
Urgent: Smart interactive whiteboard touch calibration lost,Reporting issue: Stylus inputs register 5 inches away from contact point on smartboard in LH 302. Please send someone to inspect.,Classroom and laboratory equipment
Issue with smart interactive whiteboard touch calibration lost,Attention maintenance team: Stylus inputs register 5 inches away from contact point on smartboard in LH 302.,Classroom and laboratory equipment
Spectrophotometer lamp burned out in Bioengineering lab,UV-Vis spectrophotometer fails self-test on deuterium lamp initialization.,Classroom and laboratory equipment
Urgent: Spectrophotometer lamp burned out in Bioengineering lab,Reporting issue: UV-Vis spectrophotometer fails self-test on deuterium lamp initialization. Please send someone to inspect.,Classroom and laboratory equipment
Issue with spectrophotometer lamp burned out in bioengineering lab,Attention maintenance team: UV-Vis spectrophotometer fails self-test on deuterium lamp initialization.,Classroom and laboratory equipment
Motorized projection screen stuck halfway down,Electric screen remote does not respond and screen is jammed crooked in LH 4.,Classroom and laboratory equipment
Urgent: Motorized projection screen stuck halfway down,Reporting issue: Electric screen remote does not respond and screen is jammed crooked in LH 4. Please send someone to inspect.,Classroom and laboratory equipment
Issue with motorized projection screen stuck halfway down,Attention maintenance team: Electric screen remote does not respond and screen is jammed crooked in LH 4.,Classroom and laboratory equipment
Microscope mechanical stage stuck in Pathology lab,Fine focus knob slips and stage cannot traverse along the Y-axis.,Classroom and laboratory equipment
Urgent: Microscope mechanical stage stuck in Pathology lab,Reporting issue: Fine focus knob slips and stage cannot traverse along the Y-axis. Please send someone to inspect.,Classroom and laboratory equipment
Issue with microscope mechanical stage stuck in pathology lab,Attention maintenance team: Fine focus knob slips and stage cannot traverse along the Y-axis.,Classroom and laboratory equipment
Universal Testing Machine hydraulic pressure leak,UTM in Civil Structures lab leaking hydraulic fluid around main piston.,Classroom and laboratory equipment
Urgent: Universal Testing Machine hydraulic pressure leak,Reporting issue: UTM in Civil Structures lab leaking hydraulic fluid around main piston. Please send someone to inspect.,Classroom and laboratory equipment
Issue with universal testing machine hydraulic pressure leak,Attention maintenance team: UTM in Civil Structures lab leaking hydraulic fluid around main piston.,Classroom and laboratory equipment
Audio system emitting loud 50Hz ground hum in Conference Room,PA amplifier has severe grounding buzz through all ceiling speakers.,Classroom and laboratory equipment
Urgent: Audio system emitting loud 50Hz ground hum in Conference Room,Reporting issue: PA amplifier has severe grounding buzz through all ceiling speakers. Please send someone to inspect.,Classroom and laboratory equipment
Issue with audio system emitting loud 50hz ground hum in conference room,Attention maintenance team: PA amplifier has severe grounding buzz through all ceiling speakers.,Classroom and laboratory equipment
Muffle furnace thermostat not regulating temperature,Furnace in Materials lab keeps heating past setpoint temperature without cutoff.,Classroom and laboratory equipment
Urgent: Muffle furnace thermostat not regulating temperature,Reporting issue: Furnace in Materials lab keeps heating past setpoint temperature without cutoff. Please send someone to inspect.,Classroom and laboratory equipment
Issue with muffle furnace thermostat not regulating temperature,Attention maintenance team: Furnace in Materials lab keeps heating past setpoint temperature without cutoff.,Classroom and laboratory equipment
Garbage dumpster overflowing near Hostel Canteen,Trash bags piled up outside bins attracting stray dogs and flies.,Sanitation
Urgent: Garbage dumpster overflowing near Hostel Canteen,Reporting issue: Trash bags piled up outside bins attracting stray dogs and flies. Please send someone to inspect.,Sanitation
Issue with garbage dumpster overflowing near hostel canteen,Attention maintenance team: Trash bags piled up outside bins attracting stray dogs and flies.,Sanitation
Corridor floor dirty and unmopped in Academic Block B,Muddy footprints and spilled coffee left uncleaned since yesterday afternoon.,Sanitation
Urgent: Corridor floor dirty and unmopped in Academic Block B,Reporting issue: Muddy footprints and spilled coffee left uncleaned since yesterday afternoon. Please send someone to inspect.,Sanitation
Issue with corridor floor dirty and unmopped in academic block b,Attention maintenance team: Muddy footprints and spilled coffee left uncleaned since yesterday afternoon.,Sanitation
Restroom lacks soap and paper towels in Main Building,Handwash liquid dispensers are empty in all 1st floor lavatories.,Sanitation
Urgent: Restroom lacks soap and paper towels in Main Building,Reporting issue: Handwash liquid dispensers are empty in all 1st floor lavatories. Please send someone to inspect.,Sanitation
Issue with restroom lacks soap and paper towels in main building,Attention maintenance team: Handwash liquid dispensers are empty in all 1st floor lavatories.,Sanitation
Stagnant water breeding mosquitoes near sports ground,Puddle of untreated rainwater behind gym pavilion has mosquito larvae.,Sanitation
Urgent: Stagnant water breeding mosquitoes near sports ground,Reporting issue: Puddle of untreated rainwater behind gym pavilion has mosquito larvae. Please send someone to inspect.,Sanitation
Issue with stagnant water breeding mosquitoes near sports ground,Attention maintenance team: Puddle of untreated rainwater behind gym pavilion has mosquito larvae.,Sanitation
Sanitary napkin disposal bin full in Ladies Restroom,Disposal container in 3rd floor women's washroom requires urgent emptying.,Sanitation
Urgent: Sanitary napkin disposal bin full in Ladies Restroom,Reporting issue: Disposal container in 3rd floor women's washroom requires urgent emptying. Please send someone to inspect.,Sanitation
Issue with sanitary napkin disposal bin full in ladies restroom,Attention maintenance team: Disposal container in 3rd floor women's washroom requires urgent emptying.,Sanitation
Dust and cobwebs on classroom desks in Hall 105,Benches are coated in thick dust and windows haven't been wiped in weeks.,Sanitation
