title,description,category
Urgent: Corridor lights not turning on in Academic Complex,Reporting issue: Switches on the panel do not operate the overhead lights on the west wing. Please send someone to inspect.,Electrical
Urgent: Tree branch fell and obstructing pathway near Gate 2,Reporting issue: Large bough snapped during winds and is blocking student pedestrian walkway. Please send someone to inspect.,Other
Urgent: Tap broken and continuously running in Hostel 3 mess,Reporting issue: Handwash tap valve is sheared off and water is being wasted continuously. Please send someone to inspect.,Plumbing
Issue with microscope mechanical stage stuck in pathology lab,Attention maintenance team: Fine focus knob slips and stage cannot traverse along the Y-axis.,Classroom and laboratory equipment
Exposed wires hanging from false ceiling in corridor,Open electrical wires with stripped insulation near elevator on 4th floor.,Electrical
Rust colored water coming out of hostel taps,Water has reddish brown sediment and metallic smell in Hostel 1 Wing A.,Plumbing
Issue with firewall blocking academic git repositories,Attention maintenance team: Git clone from github and gitlab is hanging with connection refused on campus proxy.,IT and Wi-Fi
Issue with geyser water heater in bathroom not heating,Attention maintenance team: Water remains ice cold even after 30 minutes of geyser being powered on.,Hostel maintenance
Low water pressure in 4th floor hostel showers,Water barely trickles out of shower heads in Hostel Block D top floor bathrooms.,Plumbing
Urgent: Smart interactive whiteboard touch calibration lost,Reporting issue: Stylus inputs register 5 inches away from contact point on smartboard in LH 302. Please send someone to inspect.,Classroom and laboratory equipment
Curtain rod fell off wall bracket in Room 215,"Drywall screws pulled out when closing curtains, bracket hanging loose.",Hostel maintenance
Mattress provided is severely damaged and sagging,Springs are protruding through fabric posing a safety issue for occupant.,Hostel maintenance
Urgent: Printer server offline in CSE department lab,Reporting issue: Network printer 10.10.4.55 is unresponsive to print jobs submitted over LAN. Please send someone to inspect.,IT and Wi-Fi
Urgent: Eduroam authentication failing with university credentials,Reporting issue: Cannot log into Eduroam network despite password reset on central LDAP. Please send someone to inspect.,IT and Wi-Fi
No water supply in Chemical Engineering department,All taps and eyewash safety stations have zero water supply since 8 AM.,Plumbing
Issue with study table drawer broken and falling out,Attention maintenance team: Runner track is bent and drawer cannot be slid in or out in Room 118.,Hostel maintenance
Urgent: Hostel 5 Wi-Fi signal extremely weak inside rooms,"Reporting issue: Signal is only available in the open balcony, zero reception inside dormitory rooms. Please send someone to inspect.",IT and Wi-Fi
Urgent: Underground supply line seepage near basketball court,Reporting issue: Water pooling on the pavement indicates broken main distribution line. Please send someone to inspect.,Plumbing
Issue with window glass shattered in room 304 due to storm,Attention maintenance team: Outer window pane cracked and loose shards may fall into courtyard below.,Hostel maintenance
Urgent: Inquiry regarding lost umbrella left in Audi 2,Reporting issue: Left black folding umbrella in Auditorium after guest lecture yesterday. Please send someone to inspect.,Other
Urgent: Animal waste found near entrance staircase of Block D,Reporting issue: Dog droppings on the main entry stairs of academic block need removal. Please send someone to inspect.,Sanitation
Urgent: Hostel 2 block C router blinking red,Reporting issue: The corridor wireless access point shows red error light and has no SSID broadcast. Please send someone to inspect.,IT and Wi-Fi
Urgent: Mattress provided is severely damaged and sagging,Reporting issue: Springs are protruding through fabric posing a safety issue for occupant. Please send someone to inspect.,Hostel maintenance
Issue with switch plate loose and wobbling in room 405,Attention maintenance team: Plastic cover came off exposing live terminals behind the light switches.,Electrical
Urgent: No water supply in Chemical Engineering department,Reporting issue: All taps and eyewash safety stations have zero water supply since 8 AM. Please send someone to inspect.,Plumbing
Issue with universal testing machine hydraulic pressure leak,Attention maintenance team: UTM in Civil Structures lab leaking hydraulic fluid around main piston.,Classroom and laboratory equipment
Issue with dampness and paint peeling off ceiling in room 410,Attention maintenance team: Water seepage from upper terrace has caused plaster to fall on study desk.,Hostel maintenance
Issue with excessive noise from lawn mowers during final examinations,Attention maintenance team: Landscaping maintenance scheduled directly outside Exam Hall 201 during test.,Other
Urgent: Muffle furnace thermostat not regulating temperature,Reporting issue: Furnace in Materials lab keeps heating past setpoint temperature without cutoff. Please send someone to inspect.,Classroom and laboratory equipment
Urgent: Digital podium microphone dead in Lecture Hall 101,Reporting issue: Gooseneck podium microphone has no audio output through hall speakers. Please send someone to inspect.,Classroom and laboratory equipment
Smart interactive whiteboard touch calibration lost,Stylus inputs register 5 inches away from contact point on smartboard in LH 302.,Classroom and laboratory equipment
Computer lab 1 desktop PCs cannot obtain DHCP IP,All 30 machines in Lab 1 show unidentified network and self-assigned IP.,IT and Wi-Fi
Notice board glass broken and posters defaced,Department official announcement board glass vandalized in lobby.,Other
Issue with muffle furnace thermostat not regulating temperature,Attention maintenance team: Furnace in Materials lab keeps heating past setpoint temperature without cutoff.,Classroom and laboratory equipment
Urgent: Projector HDMI display flickering in Audi 1,Reporting issue: Projector drops image every minute and displays no signal detected intermittently. Please send someone to inspect.,Classroom and laboratory equipment
Air conditioner tripping circuit breaker in Seminar Hall,"As soon as AC unit 2 is turned on, the MCB trips for the entire hall.",Electrical
Urgent: Switch plate loose and wobbling in Room 405,Reporting issue: Plastic cover came off exposing live terminals behind the light switches. Please send someone to inspect.,Electrical
Exhaust fan stopped working in chemistry laboratory,"Fume exhaust motor is not turning on, making the chemical storage room hazardous.",Electrical
Stagnant water breeding mosquitoes near sports ground,Puddle of untreated rainwater behind gym pavilion has mosquito larvae.,Sanitation
Urgent: DNS resolution failure on campus intranet,Reporting issue: Unable to open internal faculty portal and Moodle LMS on campus network. Please send someone to inspect.,IT and Wi-Fi
Projector HDMI display flickering in Audi 1,Projector drops image every minute and displays no signal detected intermittently.,Classroom and laboratory equipment
Issue with curtain rod fell off wall bracket in room 215,"Attention maintenance team: Drywall screws pulled out when closing curtains, bracket hanging loose.",Hostel maintenance
Balcony railing loose and shaking in Block C,"Metal weld on 3rd floor balcony railing has snapped, causing fall hazard.",Hostel maintenance
High voltage fluctuation noticed in Physics lab,Voltage meters showing fluctuations between 180V and 260V damaging sensitive sensors.,Electrical
Issue with motorized projection screen stuck halfway down,Attention maintenance team: Electric screen remote does not respond and screen is jammed crooked in LH 4.,Classroom and laboratory equipment
Leaves and debris clogging rooftop drainage gutters,Rooftop drains choked with dead leaves leading to rainwater accumulation.,Sanitation
Urgent: Food scraps left rotting in study room trash bin,Reporting issue: Disposed lunch boxes emitting severe stench in 24-hour reading room. Please send someone to inspect.,Sanitation
Hostel 5 Wi-Fi signal extremely weak inside rooms,"Signal is only available in the open balcony, zero reception inside dormitory rooms.",IT and Wi-Fi
Switch plate loose and wobbling in Room 405,Plastic cover came off exposing live terminals behind the light switches.,Electrical
Overhead water tank overflowing onto roof,Float sensor failure has caused continuous overflow from main storage tank on Tower B.,Plumbing
Printer server offline in CSE department lab,Network printer 10.10.4.55 is unresponsive to print jobs submitted over LAN.,IT and Wi-Fi
Severe water leakage in 2nd floor washroom,Pipes beneath the central washbasin burst and water is flooding into the corridor.,Plumbing
Sanitary napkin disposal bin full in Ladies Restroom,Disposal container in 3rd floor women's washroom requires urgent emptying.,Sanitation
Lost student identity card near cafeteria garden,Found or lost blue RFID smart ID card belonging to CSE Department student.,Other
Issue with room door lock cylinder jammed in hostel 6,Attention maintenance team: Key cannot be turned in lock; student currently unable to secure room when leaving.,Hostel maintenance
Muffle furnace thermostat not regulating temperature,Furnace in Materials lab keeps heating past setpoint temperature without cutoff.,Classroom and laboratory equipment
Urgent: Main transformer buzzing loudly with heat,Reporting issue: Transformer unit behind sports complex is humming excessively loud with ozone odor. Please send someone to inspect.,Electrical
Animal waste found near entrance staircase of Block D,Dog droppings on the main entry stairs of academic block need removal.,Sanitation
Eduroam authentication failing with university credentials,Cannot log into Eduroam network despite password reset on central LDAP.,IT and Wi-Fi
Urgent: Severe water leakage in 2nd floor washroom,Reporting issue: Pipes beneath the central washbasin burst and water is flooding into the corridor. Please send someone to inspect.,Plumbing
Urgent: VPN access denied for off-campus research access,Reporting issue: Remote research lab VPN gateway gives invalid certificate or handshake failure. Please send someone to inspect.,IT and Wi-Fi
Urgent: Air conditioner tripping circuit breaker in Seminar Hall,"Reporting issue: As soon as AC unit 2 is turned on, the MCB trips for the entire hall. Please send someone to inspect.",Electrical
Issue with dust and cobwebs on classroom desks in hall 105,Attention maintenance team: Benches are coated in thick dust and windows haven't been wiped in weeks.,Sanitation
Issue with audio system emitting loud 50hz ground hum in conference room,Attention maintenance team: PA amplifier has severe grounding buzz through all ceiling speakers.,Classroom and laboratory equipment
Issue with digital podium microphone dead in lecture hall 101,Attention maintenance team: Gooseneck podium microphone has no audio output through hall speakers.,Classroom and laboratory equipment
Room door lock cylinder jammed in Hostel 6,Key cannot be turned in lock; student currently unable to secure room when leaving.,Hostel maintenance
Urgent: Campus shuttle bus schedule not adhered to,Reporting issue: Morning shuttle at 8:15 AM did not arrive causing students to miss morning class. Please send someone to inspect.,Other
Mosquito net mesh torn on balcony door,Large hole in protective netting allowing mosquitoes and insects inside room.,Hostel maintenance
Urgent: Exhaust fan stopped working in chemistry laboratory,"Reporting issue: Fume exhaust motor is not turning on, making the chemical storage room hazardous. Please send someone to inspect.",Electrical
Issue with room door latch misaligned will not latch shut,Attention maintenance team: Wood has expanded with humidity and door bolt does not enter strike plate.,Hostel maintenance
Urgent: Exposed wires hanging from false ceiling in corridor,Reporting issue: Open electrical wires with stripped insulation near elevator on 4th floor. Please send someone to inspect.,Electrical
Issue with campus webmail service not receiving incoming verification emails,Attention maintenance team: Students are not receiving external emails from conference and submission portals.,IT and Wi-Fi
Urgent: Foul odor from chemical residue trash in lab corridor,Reporting issue: Open disposal bags containing reagent bottles left in public hallway. Please send someone to inspect.,Sanitation
Urgent: Restroom lacks soap and paper towels in Main Building,Reporting issue: Handwash liquid dispensers are empty in all 1st floor lavatories. Please send someone to inspect.,Sanitation
Urgent: Wi-Fi disconnected frequently in Hostel 4 Wing B,Reporting issue: The Wi-Fi router on the 3rd floor keeps dropping signal every 5 minutes. Please send someone to inspect.,IT and Wi-Fi
Urgent: Ceiling fan regulator broken in Room 108,Reporting issue: The fan knob has popped out and the fan is stuck at maximum speed. Please send someone to inspect.,Electrical
Urgent: Excessive noise from lawn mowers during final examinations,Reporting issue: Landscaping maintenance scheduled directly outside Exam Hall 201 during test. Please send someone to inspect.,Other
Issue with garbage dumpster overflowing near hostel canteen,Attention maintenance team: Trash bags piled up outside bins attracting stray dogs and flies.,Sanitation
Digital podium microphone dead in Lecture Hall 101,Gooseneck podium microphone has no audio output through hall speakers.,Classroom and laboratory equipment
Issue with flush tank not refilling in ground floor restroom,Attention maintenance team: Cistern valve is stuck and will not draw water in the admin block restroom.,Plumbing
Urgent: Computer lab 1 desktop PCs cannot obtain DHCP IP,Reporting issue: All 30 machines in Lab 1 show unidentified network and self-assigned IP. Please send someone to inspect.,IT and Wi-Fi
Issue with sewage odor emerging from bathroom floor drain,Attention maintenance team: Trap water has dried out or sewer line is blocked behind Girls Hostel 2.,Plumbing
Urgent: Audio system emitting loud 50Hz ground hum in Conference Room,Reporting issue: PA amplifier has severe grounding buzz through all ceiling speakers. Please send someone to inspect.,Classroom and laboratory equipment
Issue with socket burnt in chemistry research lab,Attention maintenance team: Three-pin 16A socket showed smoke when heating mantle was plugged in.,Electrical
Tap broken and continuously running in Hostel 3 mess,Handwash tap valve is sheared off and water is being wasted continuously.,Plumbing
Urgent: Stray dogs wandering inside academic building foyer,Reporting issue: Pack of aggressive dogs entered building through open emergency doors. Please send someone to inspect.,Other
Geyser water heater in bathroom not heating,Water remains ice cold even after 30 minutes of geyser being powered on.,Hostel maintenance
Issue with exhaust fan stopped working in chemistry laboratory,"Attention maintenance team: Fume exhaust motor is not turning on, making the chemical storage room hazardous.",Electrical
Urgent: Spectrophotometer lamp burned out in Bioengineering lab,Reporting issue: UV-Vis spectrophotometer fails self-test on deuterium lamp initialization. Please send someone to inspect.,Classroom and laboratory equipment
Urgent: Streetlight not working near hostel walkway,Reporting issue: The path between Girls Hostel and Cafeteria is pitch dark at night due to broken light pole. Please send someone to inspect.,Electrical
Issue with inquiry regarding lost umbrella left in audi 2,Attention maintenance team: Left black folding umbrella in Auditorium after guest lecture yesterday.,Other
Urgent: Socket burnt in Chemistry research lab,Reporting issue: Three-pin 16A socket showed smoke when heating mantle was plugged in. Please send someone to inspect.,Electrical
Audio system emitting loud 50Hz ground hum in Conference Room,PA amplifier has severe grounding buzz through all ceiling speakers.,Classroom and laboratory equipment
Issue with chemical fume hood airflow velocity too low,Attention maintenance team: Safety monitor indicates face velocity below 0.3 m/s in organic synthesis lab.,Classroom and laboratory equipment
Lab sink trap cracked and dripping under cabinet,Acidic waste drip has corroded the drain trap under bench 4 in Bio lab.,Plumbing
Urgent: Emergency backup generator not kicking in during outage,Reporting issue: Main computer centre had sudden shutdown when grid power failed; UPS alarm beeping. Please send someone to inspect.,Electrical
Urgent: Curtain rod fell off wall bracket in Room 215,"Reporting issue: Drywall screws pulled out when closing curtains, bracket hanging loose. Please send someone to inspect.",Hostel maintenance
Drain clogged and dirty water backing up in canteen,Kitchen sink drain is jammed with grease and water is stagnating on the floor.,Plumbing
Urgent: Window glass shattered in Room 304 due to storm,Reporting issue: Outer window pane cracked and loose shards may fall into courtyard below. Please send someone to inspect.,Hostel maintenance
Issue with slow internet speed in central library digital section,"Attention maintenance team: Download and upload speeds are below 500 kbps, unable to access IEEE journals.",IT and Wi-Fi
Urgent: Chemical fume hood airflow velocity too low,Reporting issue: Safety monitor indicates face velocity below 0.3 m/s in organic synthesis lab. Please send someone to inspect.,Classroom and laboratory equipment
Campus student portal gives 504 gateway timeout,Unable to register for semester electives due to gateway timeout on the portal.,IT and Wi-Fi
Sparking observed in main distribution board in Block A,Heard crackling sound and noticed burning smell near electrical switchboard on floor 2.,Electrical
Underground supply line seepage near basketball court,Water pooling on the pavement indicates broken main distribution line.,Plumbing
Issue with campus shuttle bus schedule not adhered to,Attention maintenance team: Morning shuttle at 8:15 AM did not arrive causing students to miss morning class.,Other
Universal Testing Machine hydraulic pressure leak,UTM in Civil Structures lab leaking hydraulic fluid around main piston.,Classroom and laboratory equipment
Centrifuge vibrating violently in Biotechnology lab,"Benchtop centrifuge makes loud rattling noise above 2000 RPM, rotor unaligned.",Classroom and laboratory equipment
Issue with main transformer buzzing loudly with heat,Attention maintenance team: Transformer unit behind sports complex is humming excessively loud with ozone odor.,Electrical
Issue with printer server offline in cse department lab,Attention maintenance team: Network printer 10.10.4.55 is unresponsive to print jobs submitted over LAN.,IT and Wi-Fi
Urgent: High voltage fluctuation noticed in Physics lab,Reporting issue: Voltage meters showing fluctuations between 180V and 260V damaging sensitive sensors. Please send someone to inspect.,Electrical
Issue with projector hdmi display flickering in audi 1,Attention maintenance team: Projector drops image every minute and displays no signal detected intermittently.,Classroom and laboratory equipment
Issue with wi-fi disconnected frequently in hostel 4 wing b,Attention maintenance team: The Wi-Fi router on the 3rd floor keeps dropping signal every 5 minutes.,IT and Wi-Fi
Issue with dns resolution failure on campus intranet,Attention maintenance team: Unable to open internal faculty portal and Moodle LMS on campus network.,IT and Wi-Fi
Construction materials left unattended in parking lot,Bags of cement and metal gravel blocking student scooter parking stalls.,Other
Unauthorized vehicle parked blocking handicap accessibility ramp,White sedan parked directly in front of wheelchair ramp at library entry.,Other
Issue with stray dogs wandering inside academic building foyer,Attention maintenance team: Pack of aggressive dogs entered building through open emergency doors.,Other
Issue with construction materials left unattended in parking lot,Attention maintenance team: Bags of cement and metal gravel blocking student scooter parking stalls.,Other
Urgent: Flush tank not refilling in Ground Floor Restroom,Reporting issue: Cistern valve is stuck and will not draw water in the admin block restroom. Please send someone to inspect.,Plumbing
Urgent: Sewage odor emerging from bathroom floor drain,Reporting issue: Trap water has dried out or sewer line is blocked behind Girls Hostel 2. Please send someone to inspect.,Plumbing
Microscope mechanical stage stuck in Pathology lab,Fine focus knob slips and stage cannot traverse along the Y-axis.,Classroom and laboratory equipment
Issue with unauthorized vehicle parked blocking handicap accessibility ramp,Attention maintenance team: White sedan parked directly in front of wheelchair ramp at library entry.,Other
Urgent: Power outage in Mechanical workshop section B,Reporting issue: All 3-phase power sockets for lathe machines are completely dead since morning. Please send someone to inspect.,Electrical
Urgent: Study table drawer broken and falling out,Reporting issue: Runner track is bent and drawer cannot be slid in or out in Room 118. Please send someone to inspect.,Hostel maintenance
Urgent: Corridor floor dirty and unmopped in Academic Block B,Reporting issue: Muddy footprints and spilled coffee left uncleaned since yesterday afternoon. Please send someone to inspect.,Sanitation
Issue with pest and cockroach infestation in hostel pantry area,Attention maintenance team: Cockroaches observed around microwaves and water dispenser counter.,Sanitation
Urgent: Slow internet speed in central library digital section,"Reporting issue: Download and upload speeds are below 500 kbps, unable to access IEEE journals. Please send someone to inspect.",IT and Wi-Fi
Urgent: Stagnant water breeding mosquitoes near sports ground,Reporting issue: Puddle of untreated rainwater behind gym pavilion has mosquito larvae. Please send someone to inspect.,Sanitation
Urgent: Lost student identity card near cafeteria garden,Reporting issue: Found or lost blue RFID smart ID card belonging to CSE Department student. Please send someone to inspect.,Other
Issue with hostel 2 block c router blinking red,Attention maintenance team: The corridor wireless access point shows red error light and has no SSID broadcast.,IT and Wi-Fi
Issue with drinking water cooler leaking onto hallway floor,Attention maintenance team: Water purifier outlet pipe is cracked near Library 1st floor water dispenser.,Plumbing
Urgent: Rust colored water coming out of hostel taps,Reporting issue: Water has reddish brown sediment and metallic smell in Hostel 1 Wing A. Please send someone to inspect.,Plumbing
Issue with food scraps left rotting in study room trash bin,Attention maintenance team: Disposed lunch boxes emitting severe stench in 24-hour reading room.,Sanitation
Urgent: Balcony railing loose and shaking in Block C,"Reporting issue: Metal weld on 3rd floor balcony railing has snapped, causing fall hazard. Please send someone to inspect.",Hostel maintenance
Issue with sanitary napkin disposal bin full in ladies restroom,Attention maintenance team: Disposal container in 3rd floor women's washroom requires urgent emptying.,Sanitation
Dust and cobwebs on classroom desks in Hall 105,Benches are coated in thick dust and windows haven't been wiped in weeks.,Sanitation
Issue with balcony railing loose and shaking in block c,"Attention maintenance team: Metal weld on 3rd floor balcony railing has snapped, causing fall hazard.",Hostel maintenance
Smart card attendance scanner not connecting to server,Biometric terminal in Main Seminar Hall gives network connection timeout error.,IT and Wi-Fi
Urgent: Overhead water tank overflowing onto roof,Reporting issue: Float sensor failure has caused continuous overflow from main storage tank on Tower B. Please send someone to inspect.,Plumbing
Issue with leaves and debris clogging rooftop drainage gutters,Attention maintenance team: Rooftop drains choked with dead leaves leading to rainwater accumulation.,Sanitation
Urgent: Campus webmail service not receiving incoming verification emails,Reporting issue: Students are not receiving external emails from conference and submission portals. Please send someone to inspect.,IT and Wi-Fi
Issue with power outage in mechanical workshop section b,Attention maintenance team: All 3-phase power sockets for lathe machines are completely dead since morning.,Electrical
Urinal auto-flush sensor leaking continuously,Sensor actuated valve is stuck open wasting constant streams of water.,Plumbing
Corridor floor dirty and unmopped in Academic Block B,Muddy footprints and spilled coffee left uncleaned since yesterday afternoon.,Sanitation
Campus shuttle bus schedule not adhered to,Morning shuttle at 8:15 AM did not arrive causing students to miss morning class.,Other
Issue with drain clogged and dirty water backing up in canteen,Attention maintenance team: Kitchen sink drain is jammed with grease and water is stagnating on the floor.,Plumbing
Urgent: Pest and cockroach infestation in hostel pantry area,Reporting issue: Cockroaches observed around microwaves and water dispenser counter. Please send someone to inspect.,Sanitation
Urgent: Sanitary napkin disposal bin full in Ladies Restroom,Reporting issue: Disposal container in 3rd floor women's washroom requires urgent emptying. Please send someone to inspect.,Sanitation
Issue with oscilloscope channel 2 faulty in electronics lab,Attention maintenance team: Tektronix DSO channel 2 produces distorted waveform with high offset error.,Classroom and laboratory equipment
Issue with lab sink trap cracked and dripping under cabinet,Attention maintenance team: Acidic waste drip has corroded the drain trap under bench 4 in Bio lab.,Plumbing
Urgent: Tube lights flickering in Lecture Hall 203,Reporting issue: Two tube lights near the front podium are flickering continuously causing eye strain. Please send someone to inspect.,Electrical
Inquiry regarding lost umbrella left in Audi 2,Left black folding umbrella in Auditorium after guest lecture yesterday.,Other
Issue with high voltage fluctuation noticed in physics lab,Attention maintenance team: Voltage meters showing fluctuations between 180V and 260V damaging sensitive sensors.,Electrical
Garbage dumpster overflowing near Hostel Canteen,Trash bags piled up outside bins attracting stray dogs and flies.,Sanitation
Urgent: Centrifuge vibrating violently in Biotechnology lab,"Reporting issue: Benchtop centrifuge makes loud rattling noise above 2000 RPM, rotor unaligned. Please send someone to inspect.",Classroom and laboratory equipment
Issue with vpn access denied for off-campus research access,Attention maintenance team: Remote research lab VPN gateway gives invalid certificate or handshake failure.,IT and Wi-Fi
Issue with corridor lights not turning on in academic complex,Attention maintenance team: Switches on the panel do not operate the overhead lights on the west wing.,Electrical
Campus webmail service not receiving incoming verification emails,Students are not receiving external emails from conference and submission portals.,IT and Wi-Fi
Urgent: Room door latch misaligned will not latch shut,Reporting issue: Wood has expanded with humidity and door bolt does not enter strike plate. Please send someone to inspect.,Hostel maintenance
Issue with notice board glass broken and posters defaced,Attention maintenance team: Department official announcement board glass vandalized in lobby.,Other
Motorized projection screen stuck halfway down,Electric screen remote does not respond and screen is jammed crooked in LH 4.,Classroom and laboratory equipment
DNS resolution failure on campus intranet,Unable to open internal faculty portal and Moodle LMS on campus network.,IT and Wi-Fi
Issue with tube lights flickering in lecture hall 203,Attention maintenance team: Two tube lights near the front podium are flickering continuously causing eye strain.,Electrical
Urgent: Drain clogged and dirty water backing up in canteen,Reporting issue: Kitchen sink drain is jammed with grease and water is stagnating on the floor. Please send someone to inspect.,Plumbing
Drinking water cooler leaking onto hallway floor,Water purifier outlet pipe is cracked near Library 1st floor water dispenser.,Plumbing
Issue with overhead water tank overflowing onto roof,Attention maintenance team: Float sensor failure has caused continuous overflow from main storage tank on Tower B.,Plumbing
Restroom lacks soap and paper towels in Main Building,Handwash liquid dispensers are empty in all 1st floor lavatories.,Sanitation
Chemical fume hood airflow velocity too low,Safety monitor indicates face velocity below 0.3 m/s in organic synthesis lab.,Classroom and laboratory equipment
Issue with lost student identity card near cafeteria garden,Attention maintenance team: Found or lost blue RFID smart ID card belonging to CSE Department student.,Other
Slow internet speed in central library digital section,"Download and upload speeds are below 500 kbps, unable to access IEEE journals.",IT and Wi-Fi
Issue with wooden wardrobe door hinge detached,Attention maintenance team: Almirah door is hanging by one hinge and might fall off if opened.,Hostel maintenance
Streetlight not working near hostel walkway,The path between Girls Hostel and Cafeteria is pitch dark at night due to broken light pole.,Electrical
Issue with tree branch fell and obstructing pathway near gate 2,Attention maintenance team: Large bough snapped during winds and is blocking student pedestrian walkway.,Other
Issue with rust colored water coming out of hostel taps,Attention maintenance team: Water has reddish brown sediment and metallic smell in Hostel 1 Wing A.,Plumbing
Issue with underground supply line seepage near basketball court,Attention maintenance team: Water pooling on the pavement indicates broken main distribution line.,Plumbing
Issue with emergency backup generator not kicking in during outage,Attention maintenance team: Main computer centre had sudden shutdown when grid power failed; UPS alarm beeping.,Electrical
Food scraps left rotting in study room trash bin,Disposed lunch boxes emitting severe stench in 24-hour reading room.,Sanitation
Issue with campus student portal gives 504 gateway timeout,Attention maintenance team: Unable to register for semester electives due to gateway timeout on the portal.,IT and Wi-Fi
Urgent: Construction materials left unattended in parking lot,Reporting issue: Bags of cement and metal gravel blocking student scooter parking stalls. Please send someone to inspect.,Other
Tree branch fell and obstructing pathway near Gate 2,Large bough snapped during winds and is blocking student pedestrian walkway.,Other
